Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,label,random
"SARS-CoV-2 infections in kindergartens and associated households at the start of the second wave in Berlin, Germany - a cross sectional study.","Thielecke, Marlene; Theuring, Stefanie; van Loon, Welmoed; Hommes, Franziska; Mall, Marcus A; Rosen, Alexander; Bohringer, Falko; von Kalle, Christof; Kirchberger, Valerie; Kurth, Tobias; Seybold, Joachim; Mockenhaupt, Frank P; BECOSS study group","Actual surveys in kindergartens on SARS-CoV-2 infections are rare. At the beginning of the second pandemic wave, we screened twelve randomly selected kindergartens in Berlin, Germany. A total of 720 participants (pre-school children, staff, and connected household members) were briefly examined and interviewed, and SARS-CoV-2 infections and anti-SARS-Cov-2 IgG antibodies were assessed. About a quarter of the participants showed common cold-resembling symptoms. However, no SARS-CoV-2 infection was detected, and only one childcare worker showed IgG seroreactivity. Against a backdrop of increased pandemic activity in the community, this cross-sectional study does not suggest that kindergartens are silent transmission reservoirs. Copyright Â© The Author(s) 2021. Published by Oxford University Press on behalf of the European Public Health Association. All rights reserved.",2021,/,European journal of public health,,"d0w, 9204966",,,https://dx.doi.org/10.1093/eurpub/ckab079,33956945,#105561,Thielecke 2021,,,1,0.02667461
SARS-CoV-2 Infection and Antibody Seroprevalence among UK Healthcare Professionals Working with Cancer Patients during the First Wave of the COVID-19 Pandemic.,"Favara, D M; McAdam, K; Cooke, A; Bordessa-Kelly, A; Budriunaite, I; Bossingham, S; Houghton, S; Doffinger, R; Ainsworth, N; Corrie, P G","AIMS: The proportion of UK oncology healthcare professionals (HCPs) infected with SARS-CoV-2 during the COVID-19 pandemic's first wave is unknown. The primary aim of this study was to determine the SARS-CoV-2 infection and seroprevalence rates among HCPs., MATERIALS AND METHODS: Patient-facing oncology HCPs working at three large UK hospitals during the COVID-19 pandemic's first wave underwent polymerase chain reaction (PCR) and antibody testing [Luminex and point-of-care (POC) tests] on two occasions 28 days apart (June-July 2020)., RESULTS: In total, 434 HCPs were recruited: nurses (58.3%), doctors (21.2%), radiographers (10.4%), administrators (10.1%); 26.3% reported prior symptoms suggestive of SARS-CoV-2. All participants were PCR negative during the study, but 18.4% were Luminex seropositive on day 1, of whom 42.5% were POC seropositive. Nurses had the highest seropositive prevalence trend (21.3%, P = 0.2). Thirty-eight per cent of seropositive HCPs reported previous SARS-CoV-2 symptoms: 1.9 times higher odds than seronegative HCPs (P = 0.01). Of 400 participants retested on day 28, 13.3% were Luminex seropositive (92.5% previously, 7.5% newly). Thirty-two per cent of initially seropositive HCPs were seronegative on day 28., CONCLUSION: In this large cohort of PCR-negative patient-facing oncology HCPs, almost one in five were SARS-CoV-2 antibody positive at the start of the pandemic's first wave. Our findings that one in three seropositive HCPs retested 28 days later became seronegative support regular SARS-CoV-2 PCR and antibody testing until widespread immunity is achieved by effective vaccination. Copyright Â© 2021 The Royal College of Radiologists. Published by Elsevier Ltd. All rights reserved.",2021,/,Clinical oncology (Royal College of Radiologists (Great Britain)),,"ayi, 9002902",,,https://dx.doi.org/10.1016/j.clon.2021.04.005,33941453,#105530,Favara 2021,,,1,0.320167452
Seroprevalence of SARS-CoV-2 Antibodies in Adults and Healthcare Workers in Southern Italy.,"Napolitano, Francesco; Di Giuseppe, Gabriella; Montemurro, Maria Vittoria; Molinari, Anna Maria; Donnarumma, Giovanna; Arnese, Antonio; Pavia, Maria; Angelillo, Italo Francesco","BACKGROUND: This study was carried out to estimate the seroprevalence of SARS-CoV-2 antibodies in a Southern Italian population., METHODS: The study was performed among students and workers of the University of Campania ""Luigi Vanvitelli"" and the relative Teaching Hospital. Participants were invited to undergo a blood sampling, an interview or to complete a self-administered questionnaire., RESULTS: A total of 140 participants (5.8%) tested positive for SARS-CoV-2 antibodies. Positive SARS-CoV-2 test results increased significantly during the months of testing, and those who had had at least one symptom among fever, cough, dyspnea, loss of taste or smell and who had had contact with a family member/cohabitant with confirmed COVID-19 were more likely to test positive. Faculty members were less likely to have a positive test result compared to the healthcare workers (HCWs). Among HCWs, physicians showed the lowest rate of seroconversion (5.2%) compared to nurses (8.9%) and other categories (10%). Nurses and other HCWs compared to the physicians, those who had had at least one symptom among fever, cough, dyspnea, loss of taste or smell, and who had had contact with a family member/cohabitant with confirmed COVID-19 were more likely to test positive., CONCLUSIONS: The results have demonstrated that SARS-CoV-2 infection is rapidly spreading even in Southern Italy and confirm the substantial role of seroprevalence studies for the assessment of SARS-CoV-2 infection circulation and potential for further spreading.",2021,/,International journal of environmental research and public health,18,9,,,https://dx.doi.org/10.3390/ijerph18094761,33947008,#105239,Napolitano 2021,,,1,0.180974533
SARS-CoV-2 Seroprevalence Among Healthcare Workers by Job Function and Work Location in a New York Inner-City Hospital.,"Purswani, Murli U; Bucciarelli, Jessica; Tiburcio, Jose; Yagudayev, Shamuel M; Connell, Georgia H; Omidiran, Arafat A; Hannaway, Launcelot; Zeana, Cosmina; Healy, Maureen; Yu, Gary; Reich, Doug","OBJECTIVE: To describe the seroprevalence and risk for SARS-CoV-2 among healthcare workers (HCWs) by job function and work location following the pandemic's first wave in New York City (NYC)., METHODS: A cross-sectional study conducted between May 18 and June 26, 2020, during which HCWs at a large inner-city teaching hospital in NYC received voluntary antibody testing. The main outcome was presence of SARS-CoV-2 antibodies indicating previous infection. Seroprevalence and adjusted odds ratios (aORs) for seropositivity by type and location of work were calculated using logistic regression analyses., RESULTS: Of 2,749 HCWs tested, 831 tested positive, yielding a crude seroprevalence of 30.2% (95% CI, 29%-32%). Seroprevalence ranged from 11.1% for pharmacy staff to 44.0% for nonclinical HCWs comprised of patient transporters and housekeeping and security staff, with 37.5% for nurses and 20.9% for administrative staff. Compared to administrative staff, aORs (95% CIs) for seropositivity were 2.54 (1.64-3.94) for nurses; 2.51 (1.42-4.43) for nonclinical HCWs; between 1.70 and 1.83 for allied HCWs such as patient care technicians, social workers, registration clerks and therapists; and 0.80 (0.50-1.29) for physicians. Compared to office locations, aORs for the emergency department and inpatient units were 2.27 (1.53-3.37) and 1.48 (1.14-1.92), respectively., CONCLUSION: One-third of hospital-based HCWs were seropositive for SARS-CoV-2 by the end of the first wave in NYC. Seroprevalence differed by job function and work location, with the highest estimated risk for nurses and the emergency department, respectively. These findings support current nationwide policy prioritizing HCWs for receipt of newly authorized COVID-19 vaccines.",2021,/,Journal of hospital medicine,16,5,282-289,,https://dx.doi.org/10.12788/jhm.3627,33929948,#105230,Purswani 2021,,,1,0.575718754
"SARS-CoV-2 Seroprevalence Among Healthcare Workers by Workplace Exposure Risk in Kashmir, India.","Khan, Muhammad Salim; Haq, Inaamul; Qurieshi, Mariya Amin; Majid, Sabhiya; Bhat, Arif Akbar; Qazi, Tanzeela Bashir; Chowdri, Iqra Nisar; Sabah, Iram; Kawoosa, Misbah Ferooz; Lone, Abdul Aziz; Nabi, Shahroz; Sumji, Ishtiyaq Ahmad; Obaid, Muhammad; Kousar, Rafiya","BACKGROUND: SARS-CoV-2 infection (COVID-19) poses a tremendous challenge to healthcare systems across the globe. Serologic testing for SARS-CoV-2 infection in healthcare workers (HCWs) may quantify the rate of clinically significant exposure in an institutional setting and identify those HCWs who are at greatest risk., METHODS: We conducted a survey and SARS-CoV-2 serologic testing among a convenience sample of HCWs from 79 non-COVID and 3 dedicated COVID hospitals in District Srinagar of Kashmir, India. In addition to testing for the presence of SARS-CoV-2-specific immunoglobulin G (IgG), we collected information on demographics, occupational group, influenza-like illness (ILI) symptoms, nasopharyngeal reverse transcription polymerase chain reaction (RT-PCR) testing status, history of close unprotected contacts, and quarantine/travel history., RESULTS: Of 7,346 eligible HCWs, 2,915 (39.7%) participated in the study. The overall prevalence of SARS-CoV-2-specific IgG antibodies was 2.5% (95% CI, 2.0%-3.1%), while HCWs who had ever worked at a dedicated COVID-19 hospital had a substantially lower seroprevalence of 0.6% (95% CI, 0.2%-1.9%). Higher seroprevalence rates were observed among HCWs who reported a recent ILI (12.2%), a positive RT-PCR (27.6%), a history of being put under quarantine (4.9%), and a history of close unprotected contact with a person with COVID-19 (4.4%). Healthcare workers who ever worked at a dedicated COVID-19 hospital had a lower multivariate-adjusted risk of seropositivity (odds ratio, 0.21; 95% CI, 0.06-0.66)., CONCLUSIONS: Our investigation suggests that infection-control practices, including a compliance-maximizing buddy system, are valuable and effective in preventing infection within a high-risk clinical setting. Universal masking, mandatory testing of patients, and residential dormitories for HCWs at COVID-19-dedicated hospitals is an effective multifaceted approach to infection control. Moreover, given that many infections among HCWs are community-acquired, it is likely that the vigilant practices in these hospitals will have spillover effects, creating ingrained behaviors that will continue outside the hospital setting.",2021,/,Journal of hospital medicine,16,5,274-281,,https://dx.doi.org/10.12788/jhm.3609,33929947,#105229,Khan 2021,,,1,0.657947142
"Association between Influenza Vaccination and Positive SARS-CoV-2 IgG and IgM Tests in the General Population of Katowice Region, Poland.","Kowalska, Malgorzata; Niewiadomska, Ewa; Baranski, Kamil; Kaleta-Pilarska, Angelina; Brozek, Grzegorz; Zejda, Jan Eugeniusz","The explanation of the potential interaction between the influenza vaccine and SARS-CoV-2 infection is urgently needed in the public health. The objective of the study is to compare the occurrence of positive SARS-CoV-2 IgG and IgM tests in subjects with and without recent (last year) seasonal influenza vaccinations. In a cross-sectional study located in three large towns of Silesian Voivodeship (Poland), we studied 5479 subjects in which 1253 (22.9%) had a positive anti-SARS-CoV-2 IgG test and 400 (7.3%) had a positive anti-SARS-CoV-2 IgM test. Seasonal influenza vaccination remains an independent factor protecting against positive IgG tests (OR = 0.68; 0.55-0.83). The effect is not apparent with IgM antibodies. The obtained results confirmed that the serological status of SARS-CoV-2 infection depends on vaccination against seasonal influenza.",2021,/,Vaccines,9,5,,,https://dx.doi.org/10.3390/vaccines9050415,33919206,#103331,Kowalska 2021,,,1,0.472547354
Rapidly increasing SARS-CoV-2 seroprevalence and limited clinical disease in three Malian communities: a prospective cohort study,"Sagara, Issaka; Woodford, John; Kone, Mamady; Assadou, Mahamadoun Hamady; Katile, Abdoulaye; Attaher, Oumar; Zeguime, Amatigue; Doucoure, M'Bouye; Higbee, Emily; Lane, Jacquelyn; Doritchamou, Justin; Zaidi, Irfan; Esposito, Dominic; Kwan, Jennifer; Sadtler, Kaitlyn; Dicko, Alassane; Duffy, Patrick","<h4>Background: </h4> The extent of SARS-CoV-2 exposure and transmission in Mali and the surrounding region is not well understood, although infection has been confirmed in nearly 14,000 symptomatic individuals and their contacts since the first case in March 2020. We aimed to estimate the cumulative incidence of SARS-CoV-2 in three Malian communities, and understand factors associated with infection. Methods Between 27 July 2020 and 29 January 2021, we collected blood samples along with demographic, social, medical and self-reported symptoms information from residents aged 6 months and older in three study communities at two study visits. SARS-CoV-2 antibodies were measured using a highly specific two-antigen ELISA optimized for use in Mali. We calculated cumulative adjusted seroprevalence for each site and evaluated factors associated with serostatus at each visit by univariate and multivariate analysis. Findings Overall, 94.8% (2533/2672) of participants completed both study visits. A total of 50.3% (1343/2672) of participants were male, and 31.3% (837/2672) were aged <10 years, 27.6% (737/2672) were aged 10-17 years, and 41.1% (1098/2572) were aged >/=18 years. The cumulative SARS-CoV-2 exposure rate was 58.5% (95% CI: 47.5 to 69.4). This varied between sites and was 73.4% (95% CI: 59.2 to 87.5) in the urban community of Sotuba, 53.2% (95% CI: 42.8 to 63.6) in the rural town of Bancoumana, and 37.1% (95% CI: 29.6 to 44.5) in the rural village of Doneguebougou. This equates to an infection rate of approximately 1% of the population every three days in the study communities between visits. Increased age and study site were associated with serostatus at both study visits. There was minimal difference in reported symptoms based on serostatus. Interpretation The true extent of SARS-CoV-2 exposure in Mali is greater than previously reported and now approaches hypothetical herd immunity in urban areas. The epidemiology of the pandemic in the region may be primarily subclinical and within background illness rates. In this setting, ongoing surveillance and augmentation of diagnostics to characterize locally circulating variants will be critical to implement effective mitigation strategies like vaccines. Funding This project was funded by the Intramural Research Program of the National Institute of Allergy and Infectious Diseases, National Institute of Biomedical Imaging and Bioengineering, and National Cancer Institute.",2021,,,,,,PPR315976,10.1101/2021.04.26.21256016,,#104499,Sagara 2021,,,1,0.703666784
Incidence of COVID-19 recurrence among large cohort of healthcare employees.,"Veronica, Fitzpatrick; Anne, Rivelli; Christopher, Blair; Kenneth, Copeland; Jon, Richards","PURPOSE: To quantify COVID-19 recurrence among clinical and non-clinical healthcare employees with SARS-CoV-2 IgG antibodies or prior COVID-19 infection., METHODS: This prospective, cohort study collected and resulted SARS-CoV-2 IgG serum samples as positive or negative from June 8 to July 10, 2020 from a convenience sample of 16,233 adult participants employed by a large Midwestern healthcare system. Documented positive PCR test results representing COVID-19 infections were recorded up to four months prior to and post-IgG testing., RESULTS: 913 (6.12%) participants, including 45 (4.93%) IgG positive participants, experienced COVID-19 infections after study initiation, representing a 51% increased risk of COVID-19 infection among IgG positive participants (IRR=1.51). Regressions adjusted for documented disparities showed no difference in COVID-19 infection by IgG status (OR=1.19; p=0.3117) but significantly greater odds in COVID-19 recurrence among participants with a prior documented COVID-19 infection (OR=1.93; p<0.0001)., CONCLUSIONS: SARS-CoV-2 IgG antibodies and prior COVID-19 infection do not appear to offer meaningful protection against COVID-19 recurrence in healthcare workers. Recurrence would impact decisions regarding ongoing healthcare resource utilization. This study can inform considerations for vaccine administration to vulnerable groups. Copyright Â© 2021 Elsevier Inc. All rights reserved.",2021,/,Annals of epidemiology,,"9100013, bx8",,,https://dx.doi.org/10.1016/j.annepidem.2021.04.005,33895245,#103544,Veronica 2021,,,1,0.617434057
Differences in seroprevalence between epicenter and non-epicenter areas of the COVID-19 outbreak in South Korea.,"Jeong, Hye Won; Chang, Hyun-Ha; Kim, Eun Ji; Kim, Yu Kyung; Kim, Se-Mi; Kim, Eun-Ha; Kim, Young-Il; Casel, Mark Anthony B; Kim, Seong-Gyu; Rollon, Rare; Jang, Seung-Gyu; Yu, Kwang-Min; Kim, Hee-Sung; Park, Hee Sue; Park, Su-Jin; Kim, Yong-Dae; Kim, Eung-Gook; Choi, Young Ki","To compare the standardized severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) seroprevalence of high epicenter region with non-epicenter region, serological studies were performed with a total of 3,268 sera from Daegu City and 3,981 sera from Chungbuk Province. Indirect immunofluorescence assay (IFA) for SARS-CoV-2 IgG results showed a high seroprevalence rate in the Daegu City (epicenter) compared with a non-epicenter area (Chungbuk Province) (1.27% vs. 0.91%, P = 0.0358). It is noteworthy that the highest seroprevalence in Daegu City was found in elderly patients (70's) whereas young adult patients (20's) in Chungbuk Province showed the highest seroprevalence. Neutralizing antibody (NAb) titers were found in three samples from Daegu City (3/3, 268, 0.09%) while none of the samples from Chungbuk Province were NAb positive. These results demonstrated that even following the large outbreak, the seropositive rate of SARS-CoV-2 in the general population remained low in South Korea.",2021,/,"Journal of microbiology (Seoul, Korea)",59,5,530-533,,https://dx.doi.org/10.1007/s12275-021-1095-7,33907974,#103663,Jeong 2021,,,1,0.084710914
Seroprevalence of Antibodies against SARS-CoV-2 in Children with Juvenile Idiopathic Arthritis a Case-Control Study.,"Opoka-Winiarska, Violetta; Grywalska, Ewelina; Korona-Glowniak, Izabela; Matuska, Katarzyna; Malm, Anna; Rolinski, Jacek","There is limited data on the effect of the novel coronavirus disease (COVID-19) caused by severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) on pediatric rheumatology. We examined the prevalence of antibodies against SARS-CoV-2 in children with juvenile idiopathic arthritis (JIA) and a negative history of COVID-19 and the correlation of the presence of these antibodies with disease activity measured by juvenile arthritis disease activity score (JADAS). In total, 62 patients diagnosed with JIA, under treatment with various antirheumatic drugs, and 32 healthy children (control group) were included. Serum samples were analyzed for inflammatory markers and antibodies and their state evaluated with the juvenile arthritis disease activity score (JADAS). JIA patients do not have a higher seroprevalence of anti-SARS-CoV-2 antibodies than healthy subjects. We found anti-SARS-CoV-2 antibodies in JIA patients who did not have a history of COVID-19. The study showed no unequivocal correlation between the presence of SARS-CoV-2 antibodies and JIA activity; therefore, this relationship requires further observation. We also identified a possible link between patients' humoral immune response and disease-modifying antirheumatic treatment, which will be confirmed in follow-up studies.",2021,/,Journal of clinical medicine,10,8,,,https://dx.doi.org/10.3390/jcm10081771,33921679,#103354,Opoka-Winiarska 2021,,,1,0.309840254
Identification of natural SARS-CoV-2 infection in seroprevalence studies among vaccinated populations,"Demmer, Ryan; Baumgartner, Brett; Wiggen, Talia; Ulrich, Angela; Strickland, Ali; Naumchik, Brianna; Bohn, Bruno; Walsh, Sara; Smith, Stephen; Kline, Susan; Stovitz, Steve; Yendell, Stephanie; Beebe, Tim; Hedberg, Craig","<h4>ABSTRACT</h4> <h4>Importance</h4> Identification of SARS-CoV-2 infection via antibody assays is important for monitoring natural infection rates. Most antibody assays cannot distinguish natural infection from vaccination. <h4>Objective</h4> To assess the accuracy of a nucleocapsid-containing assay in identifying natural infection among vaccinated individuals. <h4>Design</h4> A longitudinal cohort comprised of healthcare workers (HCW) in the Minneapolis/St. Paul metropolitan area was enrolled. Two rounds of seroprevalence studies separated by one month were conducted from 11/2020â€“1/2021. Capillary blood from round 1 and 2 was tested for IgG antibodies against SARS-CoV-2 spike proteins with a qualitative chemiluminescent ELISA (spike-only assay). In a subsample of participants (n=82) at round 2, a second assay was performed that measured IgGs reactive to SARS-CoV-2 nucleocapsid protein (nucleocapsid-containing assay). Round 1 biospecimen collections occurred prior to vaccination in all participants. Vaccination status at round 2 was determined via self-report. <h4>Setting</h4> The Minneapolis/St. Paul, Minnesota metropolitan area. <h4>Participants</h4> HCW age 18-80 years. <h4>Exposures</h4> Round 1 recent SARS-CoV-2 infection assessed via a spike-only assay and participant self-report. <h4>Outcomes</h4> Round 2 SARS-CoV-2 infection assessed via the nucleocapsid-containing assay. Area under the curve (AUC) was computed to determine the discriminatory ability of round 2 IgG reactivity to nucleocapsid for identification of recent infection determined during round 1 <h4>Results</h4> Participants had a mean age of 40 (range=23-66) years, 83% were female, 46% reported vaccination prior to the round 2 testing. Round 1 seroprevalence was 9.5%. Among those not recently infected, when comparing vaccinated vs. unvaccinated individuals, elevated levels of spike 1 (p<0.001) and spike 2 (p=0.01) were observed while nucleocapsid levels were not statistically significantly different (p=0.90). Among all participants, nucleocapsid response predicted recent infection with an AUC(95%CI) of 0.93(0.88,0.99). Among individuals vaccinated >10 days prior to antibody testing, the specificity of the nucleocapsid-containing assay was 92% and while the specificity of the spike-only assay was 0%. <h4>Conclusions and Relevance</h4> An IgG assay identifying reactivity to nucleocapsid protein is an accurate predictor of natural infection among vaccinated individuals while a spike-only assay performed poorly. In the era of SARS-CoV-2 vaccination, seroprevalence studies monitoring natural infection will require assays that do not rely on spike-protein response alone.",2021,,,,,,PPR313425,10.1101/2021.04.12.21255330,,#102921,Demmer 2021,,,1,0.208819826
